"STREET","CITY","REGION","ZIP","CC2"
"Rua Saturno","Boa Vista","RR","69316-028","BR"
"Rua NC-O","Boa Vista","RR","69316-202","BR"
"Rua Maria Martins Vieira","Boa Vista","RR","69316-498","BR"
"Avenida Sebastião Correia Lira","Boa Vista","RR","69317-472","BR"
"Rua CC-21","Boa Vista","RR","69318-100","BR"
"Quadra AV NE 23 Avenida LO 4","Palmas","TO","77006-244","BR"
"Quadra ARSO 23 Alameda 3","Palmas","TO","77015-312","BR"
"Quadra ARSO 43 Avenida NS 7","Palmas","TO","77015-690","BR"
"Quadra ARSO 44 Alameda 20","Palmas","TO","77015-767","BR"
"Quadra ARSO 62 Alameda 1","Palmas","TO","77016-400","BR"
"Quadra ACSU SO 100 Avenida Joaquim Teotonio Segurado","Palmas","TO","77018-380","BR"
"Quadra ARSO 112 Alameda 17","Palmas","TO","77019-140","BR"
"Quadra ACSE 11 Rua SE 4","Palmas","TO","77020-036","BR"
"Quadra ARSE 62 Alameda Ceschiatti","Palmas","TO","77022-076","BR"
"Quadra ASR SE 75 Alameda 9","Palmas","TO","77022-440","BR"
"Quadra ACSE 90 Avenida Joaquim Teotônio Segurado","Palmas","TO","77023-340","BR"
"Quadra ARSE 131 Rua 11","Palmas","TO","77024-700","BR"
"Quadra ARSE 141 Avenida LO 31","Palmas","TO","77024-720","BR"
"Quadra Orla 14 Alameda 3","Palmas","TO","77026-020","BR"
"","","","","BR"
"Rua Erlinda Neiva Ayres","Palmas","TO","77064-750","BR"
"Rua P","Gurupi","TO","77413-400","BR"
"Rua C","Gurupi","TO","77413-460","BR"
"Rua M","Gurupi","TO","77413-810","BR"
"Rua 71","Gurupi","TO","77415-570","BR"
"Rua C-002","Gurupi","TO","77420-290","BR"
"Rua U","Gurupi","TO","77423-430","BR"
"Rua Anselmo José Tybuchewsky","Ponta Grossa","PR","84060-142","BR"
"Rua Nicolau Kluppel Neto","Ponta Grossa","PR","84061-000","BR"
"Rua Domingos de Jesus Cassiano","Ponta Grossa","PR","84062-695","BR"
"Rua O Brasil para Cristo","Ponta Grossa","PR","84063-200","BR"
"Rua Santo Emílio","Ponta Grossa","PR","84063-260","BR"
"Rua Paulo Cesar de Sena Carvalho","Ponta Grossa","PR","84063-395","BR"
"Rua Antonina Szathowski","Ponta Grossa","PR","84064-250","BR"
"Rua Daniel Schmidt","Ponta Grossa","PR","84064-268","BR"
"Rua da Secretária","Ponta Grossa","PR","84065-190","BR"
"Rua Professora Maria Helvina C. de Mello","Castro","PR","84174-450","BR"
"Avenida Cinco de Março","Piraí do Sul","PR","84240-970","BR"
"Rua Seis","Telêmaco Borba","PR","84263-410","BR"
"Rua Hawita","Telêmaco Borba","PR","84264-040","BR"
"Rua Rio Mar da Galiléia","Telêmaco Borba","PR","84264-753","BR"
"Rua Avelino de Paula","Telêmaco Borba","PR","84266-570","BR"
"Rua B","Telêmaco Borba","PR","84271-555","BR"
"Avenida Manoel Ribas","Cruz Machado","PR","84620-970","BR"
"Rua Generoso de Paula Bastos","Guarapuava","PR","85012-060","BR"
"Rua Jaú","Guarapuava","PR","85015-510","BR"
"Rua das Sálvias","Guarapuava","PR","85023-390","BR"
"Rua Paulo Mendes Campos","Guarapuava","PR","85025-280","BR"
"Rua Petrarca","Guarapuava","PR","85030-530","BR"
"Rua José Hamilton Gondim","Boa Vista","RR","69318-768","BR"
"Travessa Getúlio Vargas","Manacapuru","AM","69400-356","BR"
"Rua Bento Aranha","Manacapuru","AM","69400-595","BR"
"Rua Maurício da Cunha Freire","Manacapuru","AM","69400-734","BR"
"Travessa Matrinchã","Iranduba","AM","69415-970","BR"
"","Jutaí","AM","69660-000","BR"
"Rua Jambo","Rio Branco","AC","69901-070","BR"
"Rua Anel Sul","Rio Branco","AC","69903-291","BR"
"Travessa Beija-Flor","Rio Branco","AC","69903-327","BR"
"Travessa do Mercado","Rio Branco","AC","69905-514","BR"
"Rua Canção de Fogo","Rio Branco","AC","69906-462","BR"
"Travessa Santa Madalena","Rio Branco","AC","69911-512","BR"
"Rua Álvaro Cézar","Rio Branco","AC","69911-518","BR"
"Rua Frei Thiago","Rio Branco","AC","69911-878","BR"
"Rua Antônio Anselmo","Rio Branco","AC","69912-326","BR"
"Rua Cruzeiro do Sul","Rio Branco","AC","69915-288","BR"
"Alameda Sena Madureira","Rio Branco","AC","69915-634","BR"
"Alameda Piapara","Rio Branco","AC","69915-678","BR"
"Rua Castanheira","Rio Branco","AC","69915-882","BR"
"Travessa Pilates","Rio Branco","AC","69918-258","BR"
"Rua Otília","Rio Branco","AC","69918-434","BR"
"Rua Eldorado","Rio Branco","AC","69919-380","BR"
"Rua C4","Gurupi","TO","77426-048","BR"
"","Juarina","TO","77753-000","BR"
"Rua São Jorge","Araguaína","TO","77807-085","BR"
"Rua Rodoviária","Araguaína","TO","77807-090","BR"
"Rua 12","Araguaína","TO","77815-290","BR"
"Rua 54","Araguaína","TO","77815-730","BR"
"Rua Josino Martins","Araguaína","TO","77817-375","BR"
"Avenida Guaporé","Araguaína","TO","77817-620","BR"
"Rua 1","Araguaína","TO","77820-080","BR"
"Avenida Cônego João Lima","Araguaína","TO","77823-375","BR"
"Rua dos Buiucus","Araguaína","TO","77824-816","BR"
"Rua 13","Araguaína","TO","77825-190","BR"
"Quadra 5","Araguaína","TO","77829-010","BR"
"Quadra 30","Araguaína","TO","77829-060","BR"
"Quadra 60","Araguaína","TO","77829-120","BR"
"","Sampaio","TO","77980-000","BR"
"Rua Onze","Cuiabá","MT","78025-554","BR"
"Rua da Encarnação","Cuiabá","MT","78030-120","BR"
"Avenida Portugal","Cuiabá","MT","78040-300","BR"
"","","","","BR"
"Avenida Dom Bosco","Cuiabá","MT","78045-370","BR"
"Rua Topázio","Cuiabá","MT","78050-080","BR"
"Rua Professora Maria das Graças Pinto","Cuiabá","MT","78050-184","BR"
"Rua Nelson Rocha Marcondes","Guarapuava","PR","85045-590","BR"
"Rua Engenharia","Cascavel","PR","85819-190","BR"
"","Jesuítas","PR","85837-000","BR"
"Rua Tiradentes","Foz do Iguaçu","PR","85851-320","BR"
"Rua Rio Madeira","Foz do Iguaçu","PR","85857-340","BR"
"Rua Jaguaribe","Foz do Iguaçu","PR","85857-700","BR"
"Avenida Brodosqui","Foz do Iguaçu","PR","85860-310","BR"
"Rua Adão Rolon","Foz do Iguaçu","PR","85862-447","BR"
"Rua Geraldo Triedel","Foz do Iguaçu","PR","85862-585","BR"
"","","","","BR"
"Alameda Milton Ferreira Souza","Foz do Iguaçu","PR","85867-636","BR"
"Rua Manaus","Foz do Iguaçu","PR","85870-140","BR"
"Rua Henrique Ghelere","Foz do Iguaçu","PR","85870-605","BR"
"Rua Quatá","Foz do Iguaçu","PR","85871-004","BR"
"Avenida Dom Geraldo Singaudt","Missal","PR","85890-970","BR"
"Rua Carlos Barbosa","Toledo","PR","85904-210","BR"
"Rua Leopoldo Rambo","Toledo","PR","85909-045","BR"
"Rua Olegário Mariano","Toledo","PR","85915-038","BR"
"","Toledo","PR","85926-870","BR"
"Rua da Abolição","Londrina","PR","86025-610","BR"
"Travessa Amazonas","Londrina","PR","86026-100","BR"
"Rua Centenário do Sul","Londrina","PR","86031-200","BR"
"Praça Marechal Eduardo Gomes","Londrina","PR","86039-105","BR"
"Beco do Alencar","Rio Branco","AC","69920-050","BR"
"Rua Carambola","Rio Branco","AC","69920-088","BR"
"Rua Padre Casa Vecchia","Rio Branco","AC","69921-186","BR"
"Rua Kaxinawás","Plácido de Castro","AC","69929-970","BR"
"SAUN Quadra 1 Bloco B","Brasília","DF","70041-903","BR"
"SAFS Quadra","Brasília","DF","70070-943","BR"
"Praça do Buriti","Brasília","DF","70075-900","BR"
"Setor SPP","Brasília","DF","70150-000","BR"
"Quadra SGAS 609/610","Brasília","DF","70200-695","BR"
"Quadra SQS 408 Bloco N","Brasília","DF","70257-140","BR"
"Quadra CLS 409 Bloco B","Brasília","DF","70258-520","BR"
"Quadra CLS 413","Brasília","DF","70296-500","BR"
"SCS Quadra 3 Bloco A Lote 107/111","Brasília","DF","70303-907","BR"
"Quadra SCS Quadra 7","Brasília","DF","70307-000","BR"
"Quadra SCS Quadra 8","Brasília","DF","70308-000","BR"
"SCS Quadra 3 Bloco A Lote 126","Brasília","DF","70313-916","BR"
"Quadra SQS 110","Brasília","DF","70373-000","BR"
"Quadra SQS 115 Bloco F","Brasília","DF","70385-060","BR"
"SDS Bloco H","Brasília","DF","70393-900","BR"
"Quadra SRES Quadra 8 Bloco E","Brasília","DF","70648-057","BR"
"Quadra SHCES Quadra 509 Bloco F","Brasília","DF","70650-596","BR"
"Rua L-1","Cuiabá","MT","78050-513","BR"
"Rua Álvaro João Luiz Miguel","Cuiabá","MT","78050-879","BR"
"Rua Roberto França","Cuiabá","MT","78052-090","BR"
"Rua Guiratinga","Cuiabá","MT","78055-454","BR"
"Rua Santos","Cuiabá","MT","78055-700","BR"
"Rua Pica-Pau","Cuiabá","MT","78058-295","BR"
"Alameda Sete","Cuiabá","MT","78058-472","BR"
"Rua Araçatuba","Cuiabá","MT","78058-671","BR"
"Rua São Miguel","Cuiabá","MT","78060-055","BR"
"Rua das Canelas","Cuiabá","MT","78061-316","BR"
"Rua Paraná","Cuiabá","MT","78065-340","BR"
"","","","","BR"
"Rua Cinco","Cuiabá","MT","78080-570","BR"
"Rua 4","Cuiabá","MT","78089-724","BR"
"Rua Dezesseis","Cuiabá","MT","78090-818","BR"
"Rua Cinqüenta","Cuiabá","MT","78093-392","BR"
"Rua Três","Cuiabá","MT","78093-565","BR"
"Rua Parecis","Cuiabá","MT","78095-030","BR"
"Rua W/Z","Cuiabá","MT","78098-525","BR"
"Rua Vitorina Virgília da Costa","Cuiabá","MT","78098-542","BR"
"Vila Carlos Alberto Soares Dias","Várzea Grande","MT","78110-434","BR"
"Rua das Oliveiras","Várzea Grande","MT","78115-385","BR"
"Rua Dona Leopoldina","Londrina","PR","86039-510","BR"
"Rua dos Tintureiros","Londrina","PR","86044-312","BR"
"Rua Zumbi dos Palmares","Londrina","PR","86044-342","BR"
"Praça Alvino Marco Pereira","Londrina","PR","86045-485","BR"
"Rua Pedro Vendrami Filho","Londrina","PR","86047-606","BR"
"Rua Júlio Munaretto","Londrina","PR","86047-660","BR"
"Rua Alfredo Fenner","Londrina","PR","86058-284","BR"
"Rua Takeo Hiraiwa","Londrina","PR","86065-064","BR"
"Avenida Rio Branco","Londrina","PR","86070-010","BR"
"Rua Imbaúba","Londrina","PR","86071-150","BR"
"Rua José Luis Pascual Pascual","Londrina","PR","86072-135","BR"
"Rua Natalina Marino César","Londrina","PR","86073-326","BR"
"Rua Francisco Alves Pinto","Londrina","PR","86073-350","BR"
"Rua Dei Loyola Soares","Londrina","PR","86082-750","BR"
"Rua Dolores Ribeiro Fagundes","Londrina","PR","86082-850","BR"
"Rua Ettore Pistori","Londrina","PR","86086-030","BR"
"Rua Ernesto Serra","Londrina","PR","86087-645","BR"
"Rua Serra da Cantareira","Cambé","PR","86183-830","BR"
"Rua Rio Miranda","Cambé","PR","86185-170","BR"
"Rua das Magnólias","Cambé","PR","86188-440","BR"
"Rua Willie Davids","Rolândia","PR","86600-304","BR"
"Rua José Gomes Júnior","Rolândia","PR","86605-648","BR"
"Quadra SHCES Quadra 1109 Bloco D","Brasília","DF","70658-194","BR"
"Quadra SHCES Quadra 1303 Bloco B","Brasília","DF","70658-332","BR"
"Quadra SQSW 103","Brasília","DF","70670-300","BR"
"Quadra CLSW 101","Brasília","DF","70670-500","BR"
"Quadra SQSW 302 Bloco A","Brasília","DF","70673-201","BR"
"Quadra QRSW 6 Bloco B-2","Brasília","DF","70675-622","BR"
"Quadra QMSW 5 Lote 4 Bloco A","Brasília","DF","70680-518","BR"
"Quadra CLNW 10/11 Lote A","Brasília","DF","70686-605","BR"
"Quadra SQNW 307","Brasília","DF","70686-800","BR"
"Quadra SHCGN 703 Bloco G","Brasília","DF","70730-707","BR"
"Quadra SHCGN 708 Bloco E","Brasília","DF","70740-765","BR"
"Quadra CLN 306 Bloco A","Brasília","DF","70745-510","BR"
"Quadra SQN 307","Brasília","DF","70746-000","BR"
"Quadra SHCGN 712 Bloco J","Brasília","DF","70760-710","BR"
"Quadra SHCGN 712 Bloco P","Brasília","DF","70760-716","BR"
"SHLN","Brasília","DF","70770-906","BR"
"Quadra CLN 315 Bloco B","Brasília","DF","70774-520","BR"
"Quadra SGAN 914 Módulo H","Brasília","DF","70790-148","BR"
"Quadra SQN 211 Bloco C","Brasília","DF","70863-030","BR"
"Quadra QI 3 Área Central","Brasília","DF","71020-211","BR"
"Quadra QE 13 Bloco A","Brasília","DF","71050-610","BR"
"Rua Vicente de Barros","Várzea Grande","MT","78115-722","BR"
"Rua Presidente Tancredo Neves","Várzea Grande","MT","78115-884","BR"
"Avenida Dom Orlando Chaves","Várzea Grande","MT","78116-130","BR"
"Rua Itália","Várzea Grande","MT","78117-045","BR"
"","","","","BR"
"Rua dos Cravos","Várzea Grande","MT","78117-306","BR"
"Rua Honório Rodrigues","Várzea Grande","MT","78118-184","BR"
"Rua Presidente Cerqueira Caldas","Várzea Grande","MT","78118-268","BR"
"Rua Porto Rico","Várzea Grande","MT","78118-476","BR"
"Rua Manoel Pinto","Várzea Grande","MT","78120-822","BR"
"Rua Siqueira Campos","Várzea Grande","MT","78130-435","BR"
"Rua Peru","Várzea Grande","MT","78130-462","BR"
"Rua Batista das Neves","Várzea Grande","MT","78130-663","BR"
"Rua Verbena","Várzea Grande","MT","78132-878","BR"
"Rua Presidente Campos Sales","Várzea Grande","MT","78134-146","BR"
"Rua da Lima","Várzea Grande","MT","78140-460","BR"
"Rua São Judas Tadeu","Várzea Grande","MT","78152-042","BR"
"Rua Mogno","Várzea Grande","MT","78158-339","BR"
"Rua Itália","Várzea Grande","MT","78158-378","BR"
"","Barão de Melgaço","MT","78192-000","BR"
"","Rosário Oeste","MT","78483-000","BR"
"4ª Travessa São Luís","Jaboatão dos Guararapes","PE","54325-144","BR"
"Travessa Lindo Amor","Jaboatão dos Guararapes","PE","54325-586","BR"
"Rua da Reverência","Jaboatão dos Guararapes","PE","54325-715","BR"
"Travessa Santo André","Jaboatão dos Guararapes","PE","54330-351","BR"
"1ª Travessa Marabá","Jaboatão dos Guararapes","PE","54340-091","BR"
"Rodovia Empresário João Santos Filho","Jaboatão dos Guararapes","PE","54353-000","BR"
"Rua Estrela do Norte","Jaboatão dos Guararapes","PE","54355-646","BR"
"Rua Jaqueira","Jaboatão dos Guararapes","PE","54360-179","BR"
"7ª Travessa Sucupira do Norte","Jaboatão dos Guararapes","PE","54410-377","BR"
"1ª Travessa Pôr do Sol","Jaboatão dos Guararapes","PE","54430-561","BR"
"Rua das Flores","Jaboatão dos Guararapes","PE","54440-525","BR"
"Rua São Geraldo","Jaboatão dos Guararapes","PE","54460-556","BR"
"Rua Águas Finas","Jaboatão dos Guararapes","PE","54490-355","BR"
"Rua Doutor Inácio de Barros","Cabo de Santo Agostinho","PE","54505-440","BR"
"Rua José Carlos Duarte","Cabo de Santo Agostinho","PE","54510-103","BR"
"Rua Itapissuma","Cabo de Santo Agostinho","PE","54518-230","BR"
"Rua da Novena","Cabo de Santo Agostinho","PE","54589-025","BR"
"Travessa Santo Antônio","Cabo de Santo Agostinho","PE","54589-536","BR"
"Rua Caroline Borba de Lima","São Lourenço da Mata","PE","54705-412","BR"
"Rua Rosa e Silva","São Lourenço da Mata","PE","54720-060","BR"
"Rua Manoel Geremias de Albuquerque","João Pessoa","PB","58073-204","BR"
"Rua Rosalva Pereira de Barros","João Pessoa","PB","58074-188","BR"
"Rua Prefeito Luiz de Oliveira Lima","João Pessoa","PB","58075-416","BR"
"Rua Manoel Rufino da Silva","João Pessoa","PB","58076-005","BR"
"Rua Professora Maria dos Anjos","João Pessoa","PB","58076-149","BR"
"Rua José Gomes Sobrinho","João Pessoa","PB","58077-060","BR"
"Rua Francisco de Vasconcelos Leitão","João Pessoa","PB","58077-105","BR"
"Rua Central","João Pessoa","PB","58081-084","BR"
"Rua Irmã Maria Arcadie","João Pessoa","PB","58081-350","BR"
"Rua da Exportação","João Pessoa","PB","58083-140","BR"
"Rua Hercília de Oliveira Sampaio","João Pessoa","PB","58090-300","BR"
"","","","","BR"
"Rua Santa Luzia","Cabedelo","PB","58101-055","BR"
"Rua Sol Nascente","Cabedelo","PB","58103-743","BR"
"Rua Porto Cabedelo","Cabedelo","PB","58105-440","BR"
"Rua Jesus de Nazaré","Cabedelo","PB","58108-256","BR"
"Rua Carneiro","Santa Rita","PB","58300-750","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"Avenida Jornalista Assis Chateaubriand","Campina Grande","PB","58400-403","BR"
"Rua Manoel Leite Cavalcante","Campina Grande","PB","58401-000","BR"
"Rua Afonso Agra Filho","Campina Grande","PB","58406-135","BR"
"Rua Ana Moreira","Campina Grande","PB","58407-293","BR"
"","Sobral","CE","62113-000","BR"
"Rua Manoel Mourão","Uruoca","CE","62465-973","BR"
"","","","","BR"
"","Redenção","CE","62790-000","BR"
"Rua Francisco Girão","Ibicuitinga","CE","62958-974","BR"
"Rua João Marcelino","Juazeiro do Norte","CE","63013-040","BR"
"Rodovia Miguel Homem da Costa","Juazeiro do Norte","CE","63015-070","BR"
"Rua Monsieur Ribeiro Cruz","Juazeiro do Norte","CE","63020-341","BR"
"Rua Teófila Cavalcante","Juazeiro do Norte","CE","63022-080","BR"
"Rua Manoel Gomes da Silva","Juazeiro do Norte","CE","63036-120","BR"
"Rua Socorro Norões Mota","Juazeiro do Norte","CE","63040-810","BR"
"Rua Maria José de Souza Silva","Juazeiro do Norte","CE","63049-290","BR"
"Rua José Florêncio Vasconcelos","Juazeiro do Norte","CE","63050-130","BR"
"Avenida Nossa Senhora Aparecida","Juazeiro do Norte","CE","63051-170","BR"
"Rua Cícero Pinheiro","Crato","CE","63105-160","BR"
"Rua João Paulo II","Crato","CE","63110-060","BR"
"Rua Jorge Lucas","Crato","CE","63110-180","BR"
"Rua Fabiano de Sousa Matos","Crato","CE","63113-672","BR"
"Rua F","Crato","CE","63130-232","BR"
"Rua Luiza Távora","Crato","CE","63133-130","BR"
"","Assaré","CE","63140-000","BR"
"Rua Vinte e Sete de Novembro","Iguatu","CE","63502-405","BR"
"Rua T-7","Belém","PA","66625-325","BR"
"Rua São Francisco","Belém","PA","66625-484","BR"
"Rua Vinte e Oito","Belém","PA","66640-215","BR"
"Bloco I","Belém","PA","66640-444","BR"
"Rua E","Belém","PA","66640-559","BR"
"Passagem Santa Cecília","Belém","PA","66643-179","BR"
"Passagem São José","Belém","PA","66645-125","BR"
"Travessa H","Belém","PA","66645-645","BR"
"Alameda Três","Belém","PA","66650-150","BR"
"Alameda Amaral Malato","Belém","PA","66810-246","BR"
"Alameda Beira-Mar","Belém","PA","66810-259","BR"
"Vila Meira","Belém","PA","66810-633","BR"
"Travessa L-3","Belém","PA","66811-775","BR"
"Vila Verde","Belém","PA","66814-010","BR"
"Rua Iêda Chaves","Belém","PA","66815-146","BR"
"Rua Santo Afonso","Belém","PA","66816-440","BR"
"Rua Sansão","Belém","PA","66820-123","BR"
"Alameda Celina","Belém","PA","66820-184","BR"
"Rua Cravos","Belém","PA","66821-332","BR"
"Quadra P","Belém","PA","66821-369","BR"
"Vila Centro Comercial","Belém","PA","66823-215","BR"
"Passagem Pedra Viva","Belém","PA","66825-193","BR"
"Passagem Soledade","Ananindeua","PA","67010-070","BR"
"Rua Santana II","Ananindeua","PA","67010-315","BR"
"Quadra Cinco","Ananindeua","PA","67033-855","BR"
"Travessa E","Ananindeua","PA","67035-130","BR"
"Rua Oitava","Ananindeua","PA","67103-450","BR"
"Quadra Sete","Ananindeua","PA","67105-119","BR"
"Alameda Edna","Ananindeua","PA","67110-380","BR"
"Passagem Elcione Barbalho","Ananindeua","PA","67113-090","BR"
"Travessa E","Ananindeua","PA","67113-670","BR"
"Quadra Um","Ananindeua","PA","67120-861","BR"
"Quadra Oitenta e Dois","Ananindeua","PA","67145-014","BR"
"Quadra Cento e Dezessete","Ananindeua","PA","67145-181","BR"
"Quadra Um-D","Ananindeua","PA","67145-498","BR"
"Rua Santa Madalena","Ananindeua","PA","67145-550","BR"
"Alameda São Vicente","Ananindeua","PA","67145-810","BR"
"Quadra Três","Ananindeua","PA","67146-003","BR"
"Quadra Quatro","Ananindeua","PA","67146-004","BR"
"Quadra Cinco","Ananindeua","PA","67146-005","BR"
"Quadra Seis","Ananindeua","PA","67146-006","BR"
"Rua Augusto Montenegro","Santarém","PA","68005-370","BR"
"Rua Planalto","Santarém","PA","68015-010","BR"
"Avenida Senador Augusto Meira","Santarém","PA","68015-410","BR"
"Avenida Bugavile","Santarém","PA","68020-230","BR"
"Travessa Xingú","Santarém","PA","68020-815","BR"
"Travessa Cinco","Santarém","PA","68025-290","BR"
"Rua Curuá","Santarém","PA","68025-540","BR"
"Travessa Quinze de Março","Santarém","PA","68025-862","BR"
"Rua Quixadá","Santarém","PA","68030-250","BR"
"Rua das Carmélias","Santarém","PA","68035-730","BR"
"Avenida Tapajós","Santarém","PA","68040-445","BR"
"Rua das Carmélias","Santarém","PA","68047-085","BR"
"Travessa Segunda","Itaituba","PA","68181-390","BR"
"","Novo Progresso","PA","68193-000","BR"
"Avenida Bom Jesus","Altamira","PA","68377-078","BR"
"Rua Nove","Altamira","PA","68377-092","BR"
"Travessa Lauro Sodré","Mocajuba","PA","68420-970","BR"
"Rua Rondônia","Tucuruí","PA","68455-667","BR"
"Rua Praça França","Tucuruí","PA","68455-671","BR"
"Rua Quinze de Novembro","Tucuruí","PA","68456-070","BR"
"Travessa S-Um","Tucuruí","PA","68456-310","BR"
"Quadra Dois","Tucuruí","PA","68456-680","BR"
"Travessa São Francisco","Tucuruí","PA","68458-610","BR"
"Travessa São Jorge","Tucuruí","PA","68459-847","BR"
"Rua Sergipe","Marabá","PA","68503-140","BR"
"Rua E","Marabá","PA","68504-220","BR"
"Quadra Dezessete","Marabá","PA","68505-410","BR"
"Rua Caixa D'água","Marabá","PA","68513-605","BR"
"Rua Ubiratã","Marabá","PA","68513-620","BR"
"","","","","BR"
"Rua Um","Redenção","PA","68551-470","BR"
"Rua José Bráz de Carvalho","Redenção","PA","68552-843","BR"
"Rua Cruz e Souza","Xinguara","PA","68555-063","BR"
"Rodovia Amazonas","Xinguara","PA","68555-845","BR"
"Rua Marabas","Xinguara","PA","68556-060","BR"
"Rua Marechal Cordeiro de Farias","Xinguara","PA","68556-402","BR"
"Avenida Níquel","Xinguara","PA","68557-550","BR"
"","Bragança","PA","68600-000","BR"
"","Bragança","PA","68608-000","BR"
"Rua Adelaide Bernadete","Paragominas","PA","68627-454","BR"
"Rua Padre Malagrida","Paragominas","PA","68627-482","BR"
"Rua José Lima dos Salmos","Paragominas","PA","68630-731","BR"
"","Aurora do Pará","PA","68658-000","BR"
"Passagem Campo do Vasco","Capanema","PA","68703-352","BR"
"Residencial Coelho","Castanhal","PA","68742-194","BR"
"Rua Joaquim Pena","Macapá","AP","68903-083","BR"
"Rua E","Macapá","AP","68903-118","BR"
"1ª Avenida da Universidade","Macapá","AP","68903-410","BR"
"Rua Saturno","Macapá","AP","68903-450","BR"
"Travessa C","Macapá","AP","68903-886","BR"
"Rua Doutor Manoel Brasil","Macapá","AP","68904-345","BR"
"Avenida Arthur Roque","Macapá","AP","68904-350","BR"
"Rua Belgica","Macapá","AP","68906-177","BR"
"Rua Ouro Preto","Macapá","AP","68908-049","BR"
"Avenida General Osório","Macapá","AP","68908-127","BR"
"Rua Vitória Régia","Macapá","AP","68908-511","BR"
"Avenida dos Figos","Macapá","AP","68908-788","BR"
"Rua Antonio Flexa da Costa","Macapá","AP","68908-815","BR"
"Rua das Pupunhas","Macapá","AP","68908-897","BR"
"Avenida Pedro Wanderley Fernandes","Macapá","AP","68909-011","BR"
"Rua Antônio Marcos","Macapá","AP","68909-159","BR"
"Rua Rio Guama","Macapá","AP","68911-140","BR"
"","Macapá","AP","68912-500","BR"
"Rua Beira-mar","Santana","AP","68925-025","BR"
"Travessa Igarapé Anaeurapucu","Santana","AP","68926-385","BR"
"Rua Um","Vitória da Conquista","BA","45075-185","BR"
"Rua E","Vitória da Conquista","BA","45075-580","BR"
"Rua Gaivota","Vitória da Conquista","BA","45077-364","BR"
"Rua das Hortências","Vitória da Conquista","BA","45078-510","BR"
"Rua das Figueiras","Vitória da Conquista","BA","45078-538","BR"
"Rua Quinze","Vitória da Conquista","BA","45089-275","BR"
"Rua Professor Sá Nunes","Jequié","BA","45201-270","BR"
"Avenida Francisco Ribeiro Júnior","Itabuna","BA","45600-100","BR"
"Praça Laura Conceição","Itabuna","BA","45600-116","BR"
"Avenida Inácio Tosta Filho","Itabuna","BA","45600-150","BR"
"Praça Otávio Mangabeira","Itabuna","BA","45600-191","BR"
"Rua A","Itabuna","BA","45600-778","BR"
"Rua Horizonte","Itabuna","BA","45602-545","BR"
"Rua Leopoldo Freire","Itabuna","BA","45603-295","BR"
"Rua L","Itabuna","BA","45604-446","BR"
"2ª Travessa Bom Jesus","Itabuna","BA","45606-532","BR"
"Travessa Santo Antônio","Itabuna","BA","45607-120","BR"
"Rua F","Itabuna","BA","45608-582","BR"
"1ª Travessa L","Itabuna","BA","45611-108","BR"
"1ª Travessa Santa Rita","Itabuna","BA","45613-820","BR"
"Rua Dilton Raposo","Ilhéus","BA","45650-534","BR"
"","","","","BR"
"Rua Alípio Manoel dos Santos","Ilhéus","BA","45656-070","BR"
"Rua Ametista","São Lourenço da Mata","PE","54735-075","BR"
"Rua Doutor Joaquim Nabuco","São Lourenço da Mata","PE","54735-790","BR"
"Avenida Geruza Alves da Silva","São Lourenço da Mata","PE","54737-590","BR"
"Rua Area Verde Quatro","São Lourenço da Mata","PE","54745-060","BR"
"Rua Araripe Júnior","Camaragibe","PE","54753-055","BR"
"Rua Manaim","Camaragibe","PE","54753-126","BR"
"2ª Travessa Doutor Bezerra de Menezes","Camaragibe","PE","54753-182","BR"
"Rua Santa Amélia","Camaragibe","PE","54756-455","BR"
"Avenida Doutor Belmino Correia","Camaragibe","PE","54759-901","BR"
"Rua Graça Aranha","Camaragibe","PE","54774-010","BR"
"Rua Paul Harris","Camaragibe","PE","54774-125","BR"
"Rua Dom Basílio","Camaragibe","PE","54774-195","BR"
"Rua Paulo Bezerra","Camaragibe","PE","54774-700","BR"
"Rua Euclides da Rocha","Camaragibe","PE","54774-765","BR"
"Rua Dezessete","Camaragibe","PE","54777-168","BR"
"Rua José Francisco dos Santos","Camaragibe","PE","54783-290","BR"
"Rua Orleans","Camaragibe","PE","54783-450","BR"
"Rua Síria","Camaragibe","PE","54783-570","BR"
"Rua Olegário Maciel C. da Cunha","Camaragibe","PE","54786-490","BR"
"Rua Demóstenes de Olinda","Camaragibe","PE","54789-045","BR"
"Rua Antônio Satu","Caruaru","PE","55002-250","BR"
"Rua Curemas","Campina Grande","PB","58410-308","BR"
"Rua Edmundo Pereira de Farias","Campina Grande","PB","58410-813","BR"
"Rua Almirante Barroso","Campina Grande","PB","58416-170","BR"
"Rua Manoel Quirino","Campina Grande","PB","58416-215","BR"
"Rua João Nogueira de Arruda","Campina Grande","PB","58419-255","BR"
"Rua Jovino Nepomuceno","Campina Grande","PB","58421-345","BR"
"Rua Doutor Luciano de França Sodré","Campina Grande","PB","58423-218","BR"
"Rua Maria Carolina de Amorim Pereira Zilli","Campina Grande","PB","58423-323","BR"
"Rua João Gomes","Campina Grande","PB","58430-400","BR"
"Rua Francisco Alves Reis","Campina Grande","PB","58432-532","BR"
"Rua José Gomes Filho","Campina Grande","PB","58433-219","BR"
"Rua Luís Rodrigues de Albuquerque","Campina Grande","PB","58434-320","BR"
